sample	unit	fq1	fq2
NTM00014	1	NTM00014_S55_R1_001.fastq.gz	NTM00014_S55_R2_001.fastq.gz
NTM00014	2	NTM00014_S38_R1_001.fastq.gz	NTM00014_S38_R2_001.fastq.gz
NTM00025	1	NTM00025_S81_R1_001.fastq.gz	NTM00025_S81_R2_001.fastq.gz
NTM00025	2	NTM00025_S64_R1_001.fastq.gz	NTM00025_S64_R2_001.fastq.gz
NTM00030	1	NTM00030_S28_R1_001.fastq.gz	NTM00030_S28_R2_001.fastq.gz
NTM00030	2	NTM00030_S11_R1_001.fastq.gz	NTM00030_S11_R2_001.fastq.gz
NTM00033	1	NTM00033_S79_R1_001.fastq.gz	NTM00033_S79_R2_001.fastq.gz
NTM00033	2	NTM00033_S62_R1_001.fastq.gz	NTM00033_S62_R2_001.fastq.gz
NTM00035	1	NTM00035_S19_R1_001.fastq.gz	NTM00035_S19_R2_001.fastq.gz
NTM00035	2	NTM00035_S2_R1_001.fastq.gz	NTM00035_S2_R2_001.fastq.gz
NTM00060	1	NTM00060_S84_R1_001.fastq.gz	NTM00060_S84_R2_001.fastq.gz
NTM00060	2	NTM00060_S67_R1_001.fastq.gz	NTM00060_S67_R2_001.fastq.gz
NTM00062	1	NTM00062_S18_R1_001.fastq.gz	NTM00062_S18_R2_001.fastq.gz
NTM00062	2	NTM00062_S1_R1_001.fastq.gz	NTM00062_S1_R2_001.fastq.gz
NTM00067	1	NTM00067_S23_R1_001.fastq.gz	NTM00067_S23_R2_001.fastq.gz
NTM00067	2	NTM00067_S6_R1_001.fastq.gz	NTM00067_S6_R2_001.fastq.gz
NTM00075	1	NTM00075_S41_R1_001.fastq.gz	NTM00075_S41_R2_001.fastq.gz
NTM00075	2	NTM00075_S24_R1_001.fastq.gz	NTM00075_S24_R2_001.fastq.gz
NTM00100	1	NTM00100_S63_R1_001.fastq.gz	NTM00100_S63_R2_001.fastq.gz
NTM00100	2	NTM00100_S46_R1_001.fastq.gz	NTM00100_S46_R2_001.fastq.gz
NTM00116	1	NTM00116_S74_R1_001.fastq.gz	NTM00116_S74_R2_001.fastq.gz
NTM00116	2	NTM00116_S57_R1_001.fastq.gz	NTM00116_S57_R2_001.fastq.gz
NTM00117	1	NTM00117_S112_R1_001.fastq.gz	NTM00117_S112_R2_001.fastq.gz
NTM00117	2	NTM00117_S95_R1_001.fastq.gz	NTM00117_S95_R2_001.fastq.gz
NTM00136	1	NTM00136_S27_R1_001.fastq.gz	NTM00136_S27_R2_001.fastq.gz
NTM00136	2	NTM00136_S10_R1_001.fastq.gz	NTM00136_S10_R2_001.fastq.gz
NTM00151	1	NTM00151_S34_R1_001.fastq.gz	NTM00151_S34_R2_001.fastq.gz
NTM00151	2	NTM00151_S17_R1_001.fastq.gz	NTM00151_S17_R2_001.fastq.gz
NTM00153	1	NTM00153_S64_R1_001.fastq.gz	NTM00153_S64_R2_001.fastq.gz
NTM00153	2	NTM00153_S47_R1_001.fastq.gz	NTM00153_S47_R2_001.fastq.gz
NTM00157	1	NTM00157_S77_R1_001.fastq.gz	NTM00157_S77_R2_001.fastq.gz
NTM00157	2	NTM00157_S60_R1_001.fastq.gz	NTM00157_S60_R2_001.fastq.gz
NTM00163	1	NTM00163_S25_R1_001.fastq.gz	NTM00163_S25_R2_001.fastq.gz
NTM00163	2	NTM00163_S8_R1_001.fastq.gz	NTM00163_S8_R2_001.fastq.gz
NTM00165	1	NTM00165_S22_R1_001.fastq.gz	NTM00165_S22_R2_001.fastq.gz
NTM00165	2	NTM00165_S5_R1_001.fastq.gz	NTM00165_S5_R2_001.fastq.gz
NTM00175	1	NTM00175_S83_R1_001.fastq.gz	NTM00175_S83_R2_001.fastq.gz
NTM00175	2	NTM00175_S66_R1_001.fastq.gz	NTM00175_S66_R2_001.fastq.gz
NTM00177	1	NTM00177_S36_R1_001.fastq.gz	NTM00177_S36_R2_001.fastq.gz
NTM00177	2	NTM00177_S19_R1_001.fastq.gz	NTM00177_S19_R2_001.fastq.gz
NTM00187	1	NTM00187_S78_R1_001.fastq.gz	NTM00187_S78_R2_001.fastq.gz
NTM00187	2	NTM00187_S61_R1_001.fastq.gz	NTM00187_S61_R2_001.fastq.gz
NTM00194	1	NTM00194_S70_R1_001.fastq.gz	NTM00194_S70_R2_001.fastq.gz
NTM00194	2	NTM00194_S53_R1_001.fastq.gz	NTM00194_S53_R2_001.fastq.gz
NTM00200	1	NTM00200_S54_R1_001.fastq.gz	NTM00200_S54_R2_001.fastq.gz
NTM00200	2	NTM00200_S37_R1_001.fastq.gz	NTM00200_S37_R2_001.fastq.gz
NTM00208	1	NTM00208_S44_R1_001.fastq.gz	NTM00208_S44_R2_001.fastq.gz
NTM00208	2	NTM00208_S27_R1_001.fastq.gz	NTM00208_S27_R2_001.fastq.gz
NTM00217	1	NTM00217_S26_R1_001.fastq.gz	NTM00217_S26_R2_001.fastq.gz
NTM00217	2	NTM00217_S9_R1_001.fastq.gz	NTM00217_S9_R2_001.fastq.gz
NTM00236	1	NTM00236_S24_R1_001.fastq.gz	NTM00236_S24_R2_001.fastq.gz
NTM00236	2	NTM00236_S7_R1_001.fastq.gz	NTM00236_S7_R2_001.fastq.gz
NTM00261	1	NTM00261_S82_R1_001.fastq.gz	NTM00261_S82_R2_001.fastq.gz
NTM00261	2	NTM00261_S65_R1_001.fastq.gz	NTM00261_S65_R2_001.fastq.gz
NTM00262	1	NTM00262_S51_R1_001.fastq.gz	NTM00262_S51_R2_001.fastq.gz
NTM00262	2	NTM00262_S34_R1_001.fastq.gz	NTM00262_S34_R2_001.fastq.gz
NTM00265	1	NTM00265_S40_R1_001.fastq.gz	NTM00265_S40_R2_001.fastq.gz
NTM00265	2	NTM00265_S23_R1_001.fastq.gz	NTM00265_S23_R2_001.fastq.gz
NTM00269	1	NTM00269_S32_R1_001.fastq.gz	NTM00269_S32_R2_001.fastq.gz
NTM00269	2	NTM00269_S15_R1_001.fastq.gz	NTM00269_S15_R2_001.fastq.gz
NTM00281	1	NTM00281_S69_R1_001.fastq.gz	NTM00281_S69_R2_001.fastq.gz
NTM00281	2	NTM00281_S52_R1_001.fastq.gz	NTM00281_S52_R2_001.fastq.gz
NTM00317	1	NTM00317_S50_R1_001.fastq.gz	NTM00317_S50_R2_001.fastq.gz
NTM00317	2	NTM00317_S33_R1_001.fastq.gz	NTM00317_S33_R2_001.fastq.gz
